b_range,S,energy_mev,radius_fm,prob_bare,prob_dressed
4.0,18.473567459075962,-2.36378623,2.41615073,0.98097137,0.01902863
4.0,18.91801190352041,-2.74655104,2.3158857,0.97926272,0.02073728
4.0,19.36245634796485,-3.15790359,2.23027788,0.97743241,0.02256759
4.0,19.806900792409298,-3.61076112,2.15197123,0.97541243,0.02458757
4.0,20.25134523685374,-4.06036858,2.08725426,0.9735957,0.0264043
4.0,20.695789681298187,-4.53885117,2.03016318,0.97178781,0.02821219
4.0,21.14023412574263,-5.06766685,1.97698257,0.96969246,0.03030754
4.0,21.584678570187073,-5.58914363,1.93113183,0.96781041,0.03218959
4.0,22.02912301463152,-6.16163548,1.88830834,0.96576611,0.03423389
b_range,S,energy_mev,radius_fm,prob_bare,prob_dressed
2.0,30.0,-0.04945446,9.79496482,0.99607627,0.00392373
2.0,32.5,-0.72327308,3.18147197,0.98459967,0.01540033
2.0,35.0,-2.11797607,2.11340703,0.97267074,0.02732926
2.0,35.13048706764543,-2.20868707,2.08242187,0.97203461,0.02796539
2.0,35.14918447275644,-2.2174935,2.08097047,0.97197572,0.02802428
2.0,37.5,-4.14928714,1.71038464,0.96069629,0.03930371
2.0,40.0,-6.78717456,1.49892441,0.9484291,0.0515709
2.1052631578947367,30.130487067645433,-0.49989938,3.72872006,0.98773891,0.01226109
2.1052631578947367,32.63048706764543,-1.74148024,2.28493295,0.97622686,0.02377314
2.1052631578947367,33.25970626272643,-2.16319638,2.1192505,0.97325639,0.02674361
2.1052631578947367,33.33577196985158,-2.21827872,2.10207622,0.97285967,0.02714033
2.1052631578947367,35.13048706764543,-3.65861724,1.7953549,0.96436787,0.03563213
2.1052631578947367,37.63048706764543,-6.21447183,1.55173896,0.95220682,0.04779318
2.1052631578947367,40.13048706764543,-9.32652802,1.4104809,0.94010776,0.05989224
2.2105263157894735,28.259706262726432,-0.39857633,4.11465664,0.98951088,0.01048912
2.2105263157894735,30.759706262726432,-1.57867514,2.38618148,0.97812826,0.02187174
2.2105263157894735,31.619187892178815,-2.15097696,2.14482656,0.97413383,0.02586617
